two_year_recid,age,sex,priors_count,juv_fel_count,juv_misd_count,c_charge_degree,c_charge_desc,race
no,69.0,Male,0,0.0,0.0,F,Aggravated Assault w/Firearm,Other
yes,34.0,Male,0,0.0,0.0,F,Felony Battery w/Prior Convict,African-American
yes,24.0,Male,4,0.0,0.0,F,Possession of Cocaine,African-American
no,23.0,Male,1,0.0,1.0,F,Possession of Cannabis,African-American
no,43.0,Male,2,0.0,0.0,F,arrest case no charge,Other
no,44.0,Male,0,0.0,0.0,M,Battery,Other
yes,41.0,Male,14,0.0,0.0,F,Possession Burglary Tools,Caucasian
no,43.0,Male,3,0.0,0.0,F,arrest case no charge,Other
no,39.0,Female,0,0.0,0.0,M,Battery,Caucasian
yes,21.0,Male,1,0.0,0.0,F,Insurance Fraud,Caucasian
no,27.0,Male,0,0.0,0.0,F,"Poss 3,4 MDMA (Ecstasy)",Caucasian
yes,23.0,Male,3,0.0,0.0,M,Battery,African-American
no,37.0,Female,0,0.0,0.0,M,Battery,Caucasian
no,41.0,Male,0,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",African-American
yes,47.0,Female,1,0.0,0.0,F,arrest case no charge,Caucasian
yes,31.0,Male,7,0.0,0.0,F,Felony Driving While Lic Suspd,African-American
no,37.0,Male,0,0.0,0.0,M,Battery,Hispanic
no,25.0,Male,3,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,31.0,Male,6,0.0,0.0,F,Driving While License Revoked,Caucasian
yes,31.0,Male,5,0.0,0.0,F,Possession Of Heroin,Caucasian
yes,64.0,Male,13,0.0,0.0,F,arrest case no charge,African-American
yes,21.0,Male,1,0.0,0.0,F,Battery on Law Enforc Officer,African-American
yes,27.0,Male,0,0.0,0.0,M,Possession Of Methamphetamine,Caucasian
no,21.0,Female,0,0.0,0.0,F,Introduce Contraband Into Jail,Caucasian
yes,24.0,Male,1,0.0,0.0,F,Lewd/Lasc Battery Pers 12+/<16,Hispanic
no,43.0,Male,1,0.0,0.0,M,Susp Drivers Lic 1st Offense,Caucasian
no,32.0,Male,0,0.0,0.0,M,Battery,Other
yes,27.0,Male,8,0.0,0.0,F,Carrying Concealed Firearm,African-American
no,36.0,Female,3,0.0,0.0,F,arrest case no charge,Caucasian
yes,26.0,Male,5,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,33.0,Male,0,0.0,0.0,F,Tampering With Physical Evidence,African-American
yes,30.0,Male,9,0.0,0.0,F,Felony Battery w/Prior Convict,Caucasian
yes,32.0,Male,4,0.0,0.0,F,Att Tamper w/Physical Evidence,African-American
no,55.0,Male,0,0.0,0.0,F,arrest case no charge,Caucasian
yes,49.0,Male,7,0.0,0.0,F,Agg Fleeing and Eluding,Other
no,26.0,Male,6,0.0,0.0,M,Operating W/O Valid License,Caucasian
yes,33.0,Female,4,0.0,0.0,M,Battery,Caucasian
yes,24.0,Male,1,0.0,0.0,M,Battery,Caucasian
yes,34.0,Male,21,2.0,1.0,F,Poss Wep Conv Felon,African-American
no,29.0,Male,0,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Caucasian
no,21.0,Female,2,0.0,0.0,F,arrest case no charge,African-American
no,51.0,Male,2,0.0,0.0,M,Unlaw Use False Name/Identity,African-American
yes,29.0,Male,2,0.0,0.0,M,Viol Injunct Domestic Violence,Caucasian
no,51.0,Female,7,0.0,0.0,F,Possession of Cocaine,African-American
yes,29.0,Male,0,0.0,0.0,F,Defrauding Innkeeper $300/More,African-American
yes,25.0,Male,9,0.0,0.0,M,Battery,Caucasian
yes,35.0,Male,13,1.0,0.0,F,Uttering a Forged Instrument,African-American
no,49.0,Male,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,Caucasian
yes,34.0,Male,4,0.0,0.0,M,Driving License Suspended,African-American
no,29.0,Male,0,0.0,0.0,F,Tampering With Physical Evidence,African-American
yes,29.0,Male,1,0.0,0.0,F,Possession of Oxycodone,Caucasian
no,28.0,Female,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Other
yes,48.0,Male,20,0.0,0.0,F,arrest case no charge,Caucasian
no,63.0,Female,1,0.0,0.0,F,arrest case no charge,Hispanic
no,31.0,Male,15,0.0,0.0,F,Attempt Armed Burglary Dwell,African-American
yes,24.0,Male,2,0.0,0.0,F,Poss Tetrahydrocannabinols,African-American
no,30.0,Male,0,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Hispanic
no,49.0,Male,4,0.0,0.0,M,Battery,African-American
no,53.0,Male,8,0.0,0.0,F,arrest case no charge,Caucasian
no,35.0,Male,5,0.0,0.0,F,Driving While License Revoked,African-American
yes,63.0,Male,10,0.0,0.0,M,Possess Drug Paraphernalia,African-American
yes,27.0,Male,15,1.0,1.0,F,Driving While License Revoked,African-American
yes,38.0,Male,4,0.0,0.0,M,Battery,Caucasian
yes,22.0,Male,1,0.0,0.0,F,Poss Firearm W/Altered ID#,African-American
yes,22.0,Male,2,0.0,1.0,F,Sell Conterfeit Cont Substance,African-American
yes,29.0,Male,4,0.0,0.0,F,arrest case no charge,African-American
no,62.0,Male,0,0.0,0.0,M,Unlaw LicTag/Sticker Attach,Hispanic
yes,27.0,Male,6,0.0,1.0,F,Aggravated Battery / Pregnant,African-American
no,33.0,Male,0,0.0,0.0,M,Battery,Other
no,56.0,Female,0,0.0,0.0,M,Battery,African-American
yes,45.0,Male,6,0.0,0.0,F,Possession of Cocaine,Hispanic
no,22.0,Male,1,0.0,0.0,F,Burglary Structure Unoccup,Hispanic
no,39.0,Male,1,0.0,0.0,M,arrest case no charge,African-American
yes,29.0,Male,5,0.0,0.0,F,False Name By Person Arrest,African-American
yes,27.0,Male,1,0.0,0.0,F,arrest case no charge,Caucasian
no,40.0,Male,2,0.0,0.0,F,arrest case no charge,African-American
yes,22.0,Male,1,0.0,0.0,M,Battery,African-American
no,22.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
yes,26.0,Female,1,0.0,0.0,F,Poss Cocaine/Intent To Del/Sel,African-American
yes,27.0,Male,1,0.0,0.0,F,Burglary Dwelling Assault/Batt,Caucasian
no,32.0,Male,0,0.0,0.0,F,Felony Battery (Dom Strang),African-American
no,41.0,Male,1,0.0,0.0,M,arrest case no charge,African-American
yes,30.0,Male,8,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
yes,50.0,Male,0,0.0,0.0,F,arrest case no charge,Other
yes,25.0,Male,14,1.0,6.0,F,arrest case no charge,African-American
yes,20.0,Male,0,0.0,0.0,F,Tampering With Physical Evidence,Other
yes,22.0,Male,2,1.0,0.0,F,Attempted Burg/struct/unocc,African-American
yes,23.0,Male,2,0.0,0.0,M,arrest case no charge,African-American
no,35.0,Female,1,0.0,0.0,M,arrest case no charge,African-American
yes,36.0,Male,9,0.0,0.0,F,Deliver Cocaine,African-American
yes,26.0,Male,7,0.0,0.0,F,Possession Burglary Tools,Caucasian
yes,21.0,Male,1,0.0,0.0,F,Grand Theft in the 3rd Degree,Other
yes,25.0,Male,9,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,Caucasian
no,71.0,Male,12,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
no,20.0,Female,0,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",Caucasian
yes,39.0,Male,2,0.0,0.0,F,Possession Of Alprazolam,Caucasian
no,66.0,Male,3,0.0,0.0,F,Flee/Elude LEO-Agg Flee Unsafe,Caucasian
no,54.0,Female,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,Caucasian
no,44.0,Female,0,0.0,0.0,M,Battery,Hispanic
yes,19.0,Male,1,0.0,0.0,M,Battery,African-American
no,24.0,Male,1,0.0,0.0,F,arrest case no charge,African-American
